TRADEDATE,SECID,WAPRICE,OPEN,CLOSE,LOW,HIGH,VOLUME
2022-04-01,AFKS,14.473,14.38,13.89,13.89,14.88,59304300.0
2022-04-04,AFKS,14.105,14.057,14.105,13.501,14.499,40030900.0
2022-04-05,AFKS,13.606,14.2,13.451,12.756,14.272,25206000.0
2022-04-06,AFKS,13.474,13.16,13.493,12.856,13.923,14170100.0
2022-04-07,AFKS,13.699,13.3,13.622,13.273,14.095,15927000.0
2022-04-08,AFKS,13.288,13.8,13.213,13.02,13.8,22484900.0
2022-04-11,AFKS,13.305,13.2,13.2,13.0,13.529,13809600.0
2022-04-12,AFKS,12.941,13.2,13.044,12.64,13.329,14647000.0
2022-04-13,AFKS,13.323,13.2,13.2,13.05,13.694,29598400.0
2022-04-14,AFKS,12.793,13.26,12.534,12.5,13.264,18970500.0
2022-04-15,AFKS,12.441,12.535,12.668,12.1,12.7,11989000.0
2022-04-18,AFKS,12.244,12.74,12.1,12.028,12.84,14603400.0
2022-04-19,AFKS,11.88,12.155,12.143,11.657,12.299,18768700.0
2022-04-20,AFKS,12.221,12.175,12.4,11.75,12.589,19749000.0
2022-04-21,AFKS,12.327,12.384,12.55,12.1,12.55,10888200.0
2022-04-22,AFKS,12.279,12.5,12.3,12.123,12.539,7430800.0
2022-04-25,AFKS,11.88,12.193,12.179,11.624,12.193,18927400.0
2022-04-26,AFKS,12.413,12.1,12.598,11.921,12.698,20706200.0
2022-04-27,AFKS,13.0,12.461,12.587,12.453,13.7,46759600.0
2022-04-28,AFKS,12.998,12.742,12.5,12.38,13.349,43097700.0
2022-04-29,AFKS,12.685,12.607,12.909,12.509,12.93,11319400.0
2022-05-04,AFKS,12.766,12.897,12.6,12.589,13.137,9372400.0
2022-05-05,AFKS,12.788,12.655,12.84,12.63,12.977,7336500.0
2022-05-06,AFKS,12.581,12.916,12.9,12.47,12.916,12142600.0
2022-05-11,AFKS,12.644,12.771,12.65,12.5,12.799,9455000.0
2022-05-12,AFKS,12.32,12.65,12.106,12.09,12.666,10055100.0
2022-05-13,AFKS,12.269,12.26,12.22,12.053,12.426,6753900.0
2022-05-16,AFKS,12.292,12.281,12.294,12.118,12.418,8390700.0
2022-05-17,AFKS,12.291,12.35,12.346,12.192,12.43,17554800.0
2022-05-18,AFKS,13.542,12.612,13.371,12.612,13.93,117144800.0
2022-05-19,AFKS,13.077,13.25,13.35,12.82,13.37,21236800.0
2022-05-20,AFKS,13.076,13.38,12.76,12.56,13.74,25126800.0
2022-05-23,AFKS,12.549,12.959,12.412,12.37,12.959,10635800.0
2022-05-24,AFKS,12.502,12.4,12.6,12.121,12.88,13492900.0
2022-05-25,AFKS,12.791,12.67,12.86,12.661,12.95,8418800.0
2022-05-26,AFKS,12.963,12.99,13.0,12.803,13.113,14888400.0
2022-05-27,AFKS,12.858,13.0,12.761,12.701,13.099,8312700.0
2022-05-30,AFKS,12.697,12.88,12.75,12.61,12.889,9114400.0
2022-05-31,AFKS,12.783,12.622,12.959,12.621,12.959,11708200.0
2022-06-01,AFKS,13.019,12.85,13.19,12.71,13.19,11271100.0
2022-06-02,AFKS,12.929,13.19,12.826,12.801,13.19,7448700.0
2022-06-03,AFKS,12.625,12.921,12.843,12.426,12.926,10084900.0
2022-06-06,AFKS,12.588,12.777,12.54,12.451,12.819,7851700.0
2022-06-07,AFKS,12.285,12.47,12.47,12.08,12.504,16395000.0
2022-06-08,AFKS,12.621,12.496,12.565,12.458,12.699,11985500.0
2022-06-09,AFKS,12.552,12.67,12.302,12.302,12.939,20145200.0
2022-06-10,AFKS,12.43,12.345,12.45,12.224,12.6,28090200.0
2022-06-14,AFKS,12.352,12.38,12.55,12.25,12.55,10037900.0
2022-06-15,AFKS,12.46,12.499,12.461,12.362,12.522,12152700.0
2022-06-16,AFKS,12.601,12.51,12.695,12.441,12.748,24067400.0
2022-06-17,AFKS,12.611,12.7,12.508,12.508,12.741,9084900.0
2022-06-20,AFKS,12.833,12.549,12.83,12.522,13.0,35341000.0
2022-06-21,AFKS,12.904,12.99,12.972,12.76,12.99,23216000.0
2022-06-22,AFKS,12.767,12.975,12.9,12.62,13.071,23391800.0
2022-06-23,AFKS,13.385,12.861,13.531,12.799,13.861,64269700.0
2022-06-24,AFKS,13.984,13.6,13.97,13.583,14.236,57665800.0
2022-06-27,AFKS,14.212,13.99,14.567,13.718,14.649,44516000.0
2022-06-28,AFKS,14.974,14.6,14.6,14.567,15.288,65229800.0
2022-06-29,AFKS,14.56,14.6,14.88,14.0,15.149,42703600.0
2022-06-30,AFKS,14.384,14.878,14.5,13.714,15.045,63653500.0
2022-07-01,AFKS,14.957,14.31,14.85,14.2,15.4,53505600.0
2022-07-04,AFKS,14.993,15.0,15.0,14.55,15.49,33622200.0
2022-07-05,AFKS,14.922,15.1,15.0,14.8,15.184,16783300.0
2022-07-06,AFKS,15.08,14.95,15.163,14.865,15.228,24618400.0
2022-07-07,AFKS,15.006,15.165,15.051,14.76,15.3,25025000.0
2022-07-08,AFKS,14.937,15.0,15.044,14.83,15.147,12094300.0
2022-07-11,AFKS,14.897,14.925,14.8,14.76,15.045,16494700.0
2022-07-12,AFKS,14.31,14.351,14.173,14.04,14.664,36452900.0
2022-07-13,AFKS,13.666,14.173,13.381,13.301,14.47,32376600.0
2022-07-14,AFKS,13.259,13.381,13.107,12.9,13.75,25087600.0
2022-07-15,AFKS,13.331,13.16,13.697,12.922,13.697,19835500.0
2022-07-18,AFKS,13.615,13.8,13.47,13.283,13.932,17944700.0
2022-07-19,AFKS,13.313,13.48,13.37,13.0,13.7,19611700.0
2022-07-20,AFKS,13.263,13.37,13.197,13.1,13.5,12530800.0
2022-07-21,AFKS,12.957,13.197,13.01,12.761,13.21,15981400.0
2022-07-22,AFKS,13.415,13.0,13.56,12.936,13.689,17754000.0
2022-07-25,AFKS,13.759,13.549,13.99,13.41,14.2,19957200.0
2022-07-26,AFKS,14.22,14.001,14.351,13.857,14.53,29360600.0
2022-07-27,AFKS,14.219,14.355,14.0,14.0,14.52,18329600.0
2022-07-28,AFKS,13.914,14.05,13.91,13.751,14.242,13864200.0
2022-07-29,AFKS,14.355,13.91,14.766,13.815,14.766,48912300.0
2022-08-01,AFKS,14.35,14.749,14.17,14.155,14.779,24035000.0
2022-08-02,AFKS,13.908,14.067,13.76,13.76,14.093,16898700.0
2022-08-03,AFKS,13.877,13.76,13.779,13.51,14.1,22376400.0
2022-08-04,AFKS,14.261,13.78,14.225,13.78,14.47,43926200.0
2022-08-05,AFKS,13.875,14.275,13.733,13.501,14.366,26288600.0
2022-08-08,AFKS,14.039,14.081,13.775,13.775,14.278,16530700.0
2022-08-09,AFKS,13.898,13.812,14.1,13.762,14.1,11387100.0
2022-08-10,AFKS,14.215,14.0,14.3,13.917,14.367,22678500.0
2022-08-11,AFKS,14.443,14.35,14.29,14.04,14.65,25089800.0
2022-08-12,AFKS,14.344,14.349,14.302,14.105,14.5,11330400.0
2022-08-15,AFKS,14.439,14.36,14.58,14.318,14.58,10892600.0
2022-08-16,AFKS,14.514,14.27,14.8,14.15,14.8,18347500.0
2022-08-17,AFKS,14.772,14.81,14.507,14.45,15.06,26781900.0
2022-08-18,AFKS,14.424,14.565,14.446,14.23,14.627,11916100.0
2022-08-19,AFKS,14.181,14.447,14.288,14.014,14.447,13384500.0
