secid,isin,registryclosedate,value,currencyid
AFKS,RU000A0DQZE3,2014-07-17,2.06,RUB
AFKS,RU000A0DQZE3,2015-07-16,0.47,RUB
AFKS,RU000A0DQZE3,2016-07-14,0.67,RUB
AFKS,RU000A0DQZE3,2016-10-07,0.38,RUB
AFKS,RU000A0DQZE3,2017-07-13,0.81,RUB
AFKS,RU000A0DQZE3,2017-12-08,0.68,RUB
AFKS,RU000A0DQZE3,2018-07-19,0.11,RUB
AFKS,RU000A0DQZE3,2019-07-18,0.11,RUB
AFKS,RU000A0DQZE3,2020-07-16,0.13,RUB
AFKS,RU000A0DQZE3,2021-07-15,0.31,RUB
AFKS,RU000A0DQZE3,2023-07-19,0.41,RUB
AFKS,RU000A0DQZE3,2024-07-17,0.52,RUB
AFLT,RU0009062285,2014-07-08,2.5,RUB
AFLT,RU0009062285,2017-07-14,17.48,RUB
AFLT,RU0009062285,2018-07-06,12.8053,RUB
AFLT,RU0009062285,2019-07-05,2.6877,RUB
ALRS,RU0007252813,2014-07-18,1.47,RUB
ALRS,RU0007252813,2015-07-15,1.47,RUB
ALRS,RU0007252813,2016-07-19,2.09,RUB
ALRS,RU0007252813,2017-07-20,8.93,RUB
ALRS,RU0007252813,2018-07-14,5.24,RUB
ALRS,RU0007252813,2018-10-15,5.93,RUB
ALRS,RU0007252813,2019-07-15,4.11,RUB
ALRS,RU0007252813,2019-10-14,3.84,RUB
ALRS,RU0007252813,2020-07-13,2.63,RUB
ALRS,RU0007252813,2021-07-04,9.54,RUB
ALRS,RU0007252813,2021-10-19,8.79,RUB
ALRS,RU0007252813,2023-10-18,3.77,RUB
ALRS,RU0007252813,2024-05-31,2.02,RUB
ALRS,RU0007252813,2024-10-19,2.49,RUB
CBOM,RU000A0JUG31,2019-06-07,0.11,RUB
CHMF,RU0009046510,2013-08-12,2.03,RUB
CHMF,RU0009046510,2013-10-31,2.01,RUB
CHMF,RU0009046510,2014-06-23,2.43,RUB
