tradedate,secid,before,after
2018-12-12,FXRU,10,1
2021-04-12,VTBB,1,10
2021-04-12,VTBBA,1,10
2021-04-12,VTBU,1,40
2021-04-12,VTBUE,1,40
2021-05-07,VTBA,1,10
2021-05-07,VTBE,1,10
2021-05-07,VTBEM,1,10
2021-05-07,VTBEM2,1,10
2021-05-07,VTBH,1,10
2021-05-07,VTBHY,1,10
2021-05-07,VTBHY2,1,10
2021-05-07,VTBSN,1,10
2021-05-07,VTBSN2,1,10
2021-06-04,SBGB,1,100
2021-06-04,SBGBA,1,100
2021-06-04,SBMX,1,100
2021-06-04,SBMXA,1,100
2021-06-04,SBRB,1,100
2021-06-04,SBRBA,1,100
2021-06-28,SCIP,1,140
2021-06-28,SCIPA,1,140
2021-07-21,NVDA-RM,1,4
2021-07-30,GE-RM,8,1
2021-09-09,FXDE,1,100
2021-10-04,ISRG-RM,1,3
2021-10-06,FXRB,1,100
2021-10-06,FXRL,1,100
2021-10-06,FXUS,1,100
2022-02-02,FXGD,1,10
2022-02-02,FXRU,1,10
2022-02-02,FXTB,1,10
2022-07-13,SCFT,1,5
2022-07-13,SCFTA,1,5
2023-01-18,ROLO,1,10
2024-02-08,GEMA,1,10
2024-02-21,FIXTRNFP,1,100
2024-02-21,TRNFP,1,100
2024-04-08,FIXGMKN,1,100
2024-04-08,GMKN,1,100
2024-07-15,FIXVTBR,5000,1
2024-07-15,VTBR,5000,1
2024-08-13,RU000A0JP799,1,100
2024-10-01,AKQU,1,100
2024-10-01,AKQUB,1,100
2024-10-02,RU000A100EQ2,1,100
2025-03-27,FIXPLZL,1,10
2025-03-27,PLZL,1,10
